#{"t_start": 1768744498.456156, "env_id": "BipedalWalker-v3"}
r,l,t
-110.560835,58,0.246278
-84.336836,1600,8.88185
-102.712274,54,9.165458
-105.887263,101,9.701807
-105.138849,131,10.385099
-99.974568,74,10.782893
-87.977701,1600,19.533446
-105.054982,76,19.95703
-103.138242,85,20.419151
-102.867519,1600,29.128285
-80.371002,1600,37.811355
-92.69941,100,38.36812
-82.083399,1600,47.065981
-92.494449,1600,55.719768
-95.220883,1600,64.393763
-67.59803,1600,73.08611
-77.082025,1600,81.78773
-119.098489,1600,90.381143
-85.472818,1600,99.054682
-77.244578,1600,107.739171
-55.602782,1600,116.248761
-109.824771,1600,124.773247
-60.612842,1600,133.393598
-72.254353,1600,142.164335
-50.487241,1600,150.883059
-55.82717,1600,159.630949
-82.806948,1600,168.143856
-74.58499,1600,176.825715
-100.604507,1600,185.332695
-110.574267,60,185.662351
-98.586234,1600,194.21196
-112.097313,46,194.466051
-81.803884,1600,203.314978
-59.288678,1600,211.989947
-66.301134,1600,220.688105
-51.082558,1600,229.585033
-34.240248,1600,238.459777
-26.949338,1600,247.181009
-27.944762,1600,255.700175
-37.49491,1600,264.282583
-49.953229,1600,272.821646
-34.528663,1600,281.431166
-42.604007,1600,290.072542
-33.250977,1600,298.900334
-38.853586,1600,307.643354
-48.572483,1600,316.358757
-117.331193,44,316.609187
-50.540303,1600,325.396153
-116.060385,63,325.739477
-55.120083,1600,334.215804
-45.16184,1600,342.796268
-113.559755,66,343.143614
-131.317525,138,343.904675
-46.61025,1600,352.464942
-126.53132,104,353.034658
-130.550685,137,353.761813
-136.783775,185,354.751809
-50.962348,1600,363.428228
-28.252932,1600,372.037356
-61.527398,1600,380.671123
-45.255641,1600,389.490263
-46.04239,1600,398.103326
-23.91022,1600,406.765431
-28.097968,1600,415.5194
-39.574896,1600,424.098923
-33.918462,1600,432.706848
-38.909601,1600,441.373098
-46.481356,1600,450.005579
-34.527404,1600,458.451849
-52.914785,1600,467.217725
-46.927632,1600,475.940126
-41.586213,1600,484.412679
-33.831612,1600,492.868929
-40.580688,1600,501.443838
-45.833832,1600,510.000881
-31.745733,1600,518.735542
-30.951493,1600,527.476087
-37.053456,1600,536.186065
-52.240441,1600,544.859145
-54.982421,1600,553.622299
-97.678477,355,555.46403
-95.704254,199,556.529441
-112.668059,930,561.57162
-2.023639,1600,570.248058
-92.138121,142,570.999887
12.703806,1600,579.546617
-103.370805,885,584.499095
-16.496837,1600,593.01173
-25.925667,1600,601.687364
-19.405742,1600,610.319328
-114.476999,1109,616.325938
-17.501176,1600,624.999579
-35.745174,1600,633.758171
-32.441024,1600,642.540041
-35.653279,1600,651.245601
-37.428849,1600,659.948078
-110.458376,296,661.563097
-32.479069,1600,670.324344
-39.733693,1600,679.168957
-25.625713,1600,687.934069
23.015356,1600,696.633163
-42.80513,1600,705.257036
-4.90029,1600,713.999294
6.869516,1600,722.892303
4.402547,1600,731.84627
73.683752,1600,740.790121
