#{"t_start": 1768744498.4572062, "env_id": "BipedalWalker-v3"}
r,l,t
-90.666344,1600,8.54075
-91.383562,1600,17.250776
-100.460459,64,17.607563
-82.957809,1600,26.320091
-86.844489,1600,34.9937
-81.33108,1600,43.720857
-91.061426,1600,52.372335
-88.882879,1600,61.057167
-70.670528,1600,69.748414
-87.902485,1600,78.466024
-75.822029,1600,87.121241
-91.814091,1600,95.715704
-72.216484,1600,104.415946
-59.821222,1600,112.961931
-75.549583,1600,121.565661
-69.091351,1600,130.171146
-60.299544,1600,138.75761
-59.789531,1600,147.464124
-50.854501,1600,156.290257
-62.070527,1600,164.804429
-81.060294,1600,173.488458
-108.380764,85,173.941077
-150.898953,1600,182.537004
-104.188053,1600,191.067689
-90.415437,1600,199.733702
-71.013538,1600,208.534942
-60.184474,1600,217.197304
-64.701334,1600,226.055402
-33.13652,1600,234.996402
-33.003591,1600,243.753591
-30.35358,1600,252.268939
-26.452175,1600,260.87273
-135.963204,954,266.036731
-49.744633,1600,274.565154
-35.636678,1600,283.125715
-42.07372,1600,291.772001
-43.533801,1600,300.604787
-48.214223,1600,309.423309
-49.961735,1600,318.153564
-42.651309,1600,326.886223
-53.497433,1600,335.352198
-47.75268,1600,343.947431
-128.166711,117,344.585787
-134.599675,139,345.30757
-47.424929,1600,353.880248
-128.573303,124,354.535744
-39.363406,1600,363.217116
-38.951005,1600,371.826524
-119.649629,86,372.284695
-48.460383,1600,380.92243
-25.698668,1600,389.752557
-39.007127,1600,398.355825
-28.66444,1600,407.037683
-32.837092,1600,415.770674
-41.763738,1600,424.349147
-32.808236,1600,432.962358
-41.813064,1600,441.629625
-40.61275,1600,450.253705
-62.068207,1600,458.723403
-53.305564,1600,467.472204
-39.568389,1600,476.182534
-35.624634,1600,484.658557
-35.713622,1600,493.121142
-49.993891,1600,501.700511
-44.186404,1600,510.239593
-36.538267,1600,518.99099
-27.475157,1600,527.733791
-41.330971,1600,536.441957
-46.908173,1600,545.113666
-22.736007,1600,553.867084
-29.321427,1600,562.443522
-93.294791,232,563.708119
-100.112571,728,567.703423
-103.030127,1070,573.457976
6.409413,1600,582.172976
-96.79416,1529,590.320889
5.42286,1600,598.953119
-34.372991,1600,607.607556
-31.807843,1600,616.24634
-27.153518,1600,624.919364
-31.375374,1600,633.677766
-27.393585,1600,642.459121
-18.839363,1600,651.169596
-27.737482,1600,659.869298
-8.872601,1600,668.632484
-26.176059,1600,677.415228
-33.42967,1600,686.230309
-26.787333,1600,694.922403
-20.712674,1600,703.585073
23.372905,1600,712.311487
-29.438522,1600,721.154
21.139941,1600,730.105375
37.659991,1600,739.047947
108.406118,1600,747.716558
107.136075,1600,756.502068
-62.381994,538,759.487334
-90.778245,120,760.15978
-75.121348,456,762.706369
98.42625,1600,771.451251
111.546185,1600,779.972255
127.051484,1600,788.560171
157.014105,1600,797.114576
181.352074,1600,805.755526
176.788914,1600,814.415874
-93.701226,144,815.210364
201.512596,1600,823.753891
229.870371,1600,832.555382
243.999933,1600,841.212781
270.641904,1473,849.056637
264.838212,1594,857.631155
267.254638,1567,866.18188
272.506204,1381,873.839635
280.703415,1303,880.962062
-84.030667,155,881.799403
280.930193,1359,889.026489
-35.28231,386,891.082225
-88.55784,164,891.975686
275.173109,1350,899.223613
280.185705,1296,906.304912
277.501573,1345,913.599465
278.739321,1270,920.413247
276.871908,1260,927.315155
279.68719,1294,934.466362
277.570335,1293,941.510101
283.779668,1246,948.364206
286.133932,1238,954.975195
289.733567,1202,961.471842
62.725113,826,966.009621
287.321481,1190,972.431892
284.478416,1241,979.058347
281.785185,1267,985.820539
288.046194,1176,992.204952
289.310291,1181,998.547049
291.291486,1134,1004.572762
291.889224,1104,1010.660368
293.787897,1076,1016.46399
291.969224,1088,1022.337656
291.427864,1093,1028.217011
283.375746,1172,1034.721242
288.001467,1132,1040.994392
288.185699,1153,1047.221376
285.016789,1216,1053.847411
288.978705,1108,1059.89456
288.428886,1107,1065.892882
291.530751,1088,1071.764836
291.624494,1071,1077.474787
290.449743,1106,1083.45573
290.696299,1099,1089.460867
293.538615,1028,1095.096036
291.556196,1055,1100.846033
293.829811,1016,1106.336336
291.676933,1044,1112.01279
294.36938,1049,1117.69923
296.715151,970,1122.933484
297.009416,999,1128.447872
296.38388,1048,1134.310196
295.630771,1005,1139.901858
297.714111,991,1145.453223
299.748279,987,1150.749611
296.27689,1001,1156.160545
293.047235,1038,1161.719591
294.253324,981,1167.056534
297.306991,979,1172.328307
298.263487,979,1177.669694
297.824896,978,1182.842184
299.805517,974,1188.124922
294.535964,987,1193.494612
299.201315,968,1198.851393
298.40197,962,1204.065389
295.615284,1013,1209.613135
297.115617,977,1214.934458
298.920134,930,1220.020229
298.454148,953,1225.215956
297.760133,970,1230.451002
-49.187168,214,1231.565043
297.962479,985,1236.856517
-35.324591,291,1238.411987
296.431917,972,1243.628558
295.981921,978,1248.910188
299.839479,930,1253.819603
299.39118,944,1258.883861
298.186559,955,1263.965325
300.264887,952,1269.283748
