#{"t_start": 1768744498.4567578, "env_id": "BipedalWalker-v3"}
r,l,t
-111.347626,56,0.233605
-89.375713,1600,8.866851
-100.006676,70,9.239965
-99.338056,79,9.6562
-125.622438,88,10.119954
-98.447112,81,10.543875
-99.561659,88,11.040219
-101.170871,61,11.376334
-83.787121,1600,20.115919
-101.751226,59,20.439568
-83.711762,1600,29.14838
-80.720168,1600,37.833494
-87.601624,1600,46.53436
-90.055382,1600,55.191541
-91.340876,1600,63.874518
-55.135488,1600,72.562362
-60.164339,1600,81.262468
-117.304925,1600,89.856377
-81.004363,1600,98.512787
-75.932406,1600,107.195136
-48.684399,1600,115.743514
-82.297247,1600,124.269557
-56.608472,1600,132.893177
-73.472987,1600,141.632514
-53.125711,1600,150.339329
-53.225065,1600,159.081652
-82.104349,1600,167.634218
-72.93333,1600,176.295399
-113.077246,140,177.061859
-130.585755,1600,185.560436
-103.028626,1600,194.113409
-80.621583,1600,202.966815
-62.683477,1600,211.639069
-66.599824,1600,220.342499
-49.46953,1600,229.230058
-27.009578,1600,238.102372
-26.418665,1600,246.826291
-25.741111,1600,255.357567
-54.460637,1600,263.953552
-39.095531,1600,272.484393
-34.739091,1600,281.089512
-43.502114,1600,289.714718
-47.922844,1600,298.536985
-42.420485,1600,307.296451
-125.488612,102,307.867105
-53.860796,1600,316.576388
-50.572568,1600,325.362953
-71.536001,1600,333.861788
-38.263467,1600,342.428528
-113.682181,62,342.762475
-116.785701,64,343.095768
-56.774261,1600,351.694944
-30.621091,1600,360.344582
-38.134197,1600,368.94974
-39.520759,1600,377.606098
-47.201549,1600,386.289175
-48.809998,1600,394.97836
-111.049925,54,395.25781
-23.105657,1600,403.961005
-30.480698,1600,412.692411
-40.795429,1600,421.336929
-42.973287,1600,429.972571
-35.786648,1600,438.544421
-45.20689,1600,447.232689
-77.609662,1600,455.715207
-43.519082,1600,464.396925
-53.926468,1600,473.143419
-37.624384,1600,481.688877
-43.714851,1600,490.129883
-41.622856,1600,498.678569
-41.16257,1600,507.265276
-49.975276,1600,515.888995
-27.448557,1600,524.714307
-26.899786,1600,533.35772
-44.897587,1600,542.000247
-52.226927,1600,550.752336
-6.975433,1600,559.389794
-107.885109,1201,565.924632
14.626834,1600,574.587997
27.154797,1600,583.275692
-4.723848,1600,591.807286
-103.24049,431,594.110377
-93.623686,1391,601.652184
-32.366484,1600,610.285517
-32.990626,1600,619.016184
-37.215592,1600,627.723397
-8.96934,1600,636.493669
-29.821024,1600,645.152244
-36.890625,1600,653.83591
4.85276,1600,662.543471
-34.521649,1600,671.347133
-47.632804,1600,680.227851
-31.662796,1600,688.96322
-46.531602,1600,697.697131
-10.875158,1600,706.314311
-25.237321,1600,715.055408
-19.312282,1600,723.940837
16.848353,1600,732.895561
78.764639,1600,741.836199
-3.150225,1181,748.149383
-72.523929,451,750.629601
-69.993566,447,753.131116
-28.214659,809,757.537433
28.55287,1055,763.420215
103.790921,1600,772.132379
122.713302,1600,780.670193
111.626688,1600,789.226586
171.610945,1600,797.79233
196.148761,1600,806.451246
192.328866,1600,815.121534
207.10688,1600,823.66704
224.738024,1600,832.461504
267.245436,1545,840.807568
269.532251,1513,848.88411
261.009277,1600,857.488251
114.924214,1289,864.487878
272.149547,1417,872.346272
276.989903,1363,879.833444
282.883422,1319,886.86424
71.470353,856,891.452396
277.469608,1362,898.766523
-3.312182,525,901.629588
277.127669,1341,908.91727
278.907536,1291,915.972836
71.184432,913,920.812999
279.23159,1277,927.823663
279.494108,1263,934.792211
277.201586,1282,941.783342
280.362995,1289,948.847821
284.819482,1281,955.683613
287.393158,1253,962.511332
284.222645,1238,969.316687
285.590773,1226,975.779857
282.686787,1256,982.484737
285.809831,1243,989.199478
287.128826,1152,995.429195
291.151177,1150,1001.567698
290.982724,1117,1007.624545
291.070827,1138,1013.870054
294.884778,1032,1019.418767
-59.422183,218,1020.588158
29.141115,532,1023.42358
291.329501,1103,1029.37427
286.446987,1108,1035.567738
286.843079,1145,1041.900515
286.445055,1205,1048.4108
282.964009,1200,1054.951154
288.938785,1133,1061.13894
291.865226,1089,1067.011147
292.488416,1068,1072.752919
291.780192,1079,1078.497886
292.460588,1077,1084.378619
291.952564,1075,1090.234567
287.480196,1104,1096.30115
293.33549,1059,1102.05154
293.462817,1036,1107.664662
148.429455,870,1112.419819
291.560017,1079,1118.244816
294.028215,1028,1123.800447
294.087312,1052,1129.628937
295.282774,1022,1135.331026
294.666873,1016,1140.999912
298.431429,981,1146.453036
298.476832,977,1151.708771
290.227908,1073,1157.50279
292.024865,1008,1162.890189
296.081281,992,1168.314938
298.171496,978,1173.529124
296.609111,978,1178.899998
297.673393,998,1184.178784
297.684157,990,1189.505231
292.809852,1037,1195.238472
299.427784,987,1200.665807
297.817247,990,1206.042979
294.943717,1043,1211.737581
295.306167,977,1217.075147
296.048868,999,1222.514273
294.633165,997,1227.958627
299.317056,912,1232.776543
300.988574,952,1237.917388
296.431427,995,1243.258641
294.348678,995,1248.618465
300.167982,940,1253.575968
299.716667,942,1258.630615
298.64425,945,1263.673321
302.988874,923,1268.816588
301.7341,957,1273.997913
300.521588,956,1279.151762
299.274061,940,1284.192212
305.868337,910,1289.009515
301.455775,934,1294.061353
303.370966,932,1299.072425
302.653598,922,1304.210207
300.889394,946,1309.504434
304.724085,931,1314.66278
303.040781,929,1319.747784
305.323976,912,1324.593873
301.247583,963,1329.83446
296.821903,1005,1335.363694
302.09232,912,1340.235383
303.491245,929,1345.209847
302.112181,919,1350.093375
303.89737,896,1354.926471
304.184834,903,1359.739437
300.408996,921,1364.730337
303.764529,879,1369.462039
301.220425,917,1374.589992
301.726507,931,1379.664681
-65.257193,200,1380.751652
305.893882,888,1385.554338
