#{"t_start": 1768746534.8382254, "env_id": "BipedalWalker-v3"}
r,l,t
-144.595109,1600,399.993176
-127.893828,1600,404.003875
-134.937465,1600,407.989822
-117.212495,73,411.459341
-139.172043,1600,412.179118
-150.792685,1600,416.096694
-101.99123,54,419.415897
-99.629477,70,419.554013
-143.121349,1600,420.246913
-102.276995,88,423.672391
-112.218863,201,423.930893
-105.062275,93,424.378337
-107.187975,89,424.603405
-148.386498,1600,425.384372
-136.370004,161,428.816653
-112.821901,1600,429.731894
-91.601018,1600,433.724143
-119.016437,86,437.126416
-105.653212,80,437.337587
-113.483711,147,437.557821
-103.233828,85,437.908157
-98.734024,189,438.159984
-120.97437,60,438.605174
-137.514198,1600,439.311161
-121.863627,65,442.66887
-113.772536,244,442.930147
-122.434936,73,443.515553
-122.502067,91,443.716666
-111.631421,83,443.938446
-109.004723,1600,444.674402
-124.281069,1600,448.747931
-129.08157,111,452.292164
-110.10262,1600,453.100199
-109.192693,1600,457.212406
-116.815482,1600,461.105123
-101.821429,1600,465.05729
-106.968059,74,468.464016
-130.513735,1600,469.181872
-119.026804,1600,473.155003
-118.234981,1600,477.11146
-90.257611,1600,481.061882
-118.052111,1600,485.031886
-81.414219,1600,489.037955
-126.42328,1600,493.092804
-89.645344,1600,497.123091
-104.804278,1600,500.986411
-133.542144,1600,504.923966
-120.25066,1600,508.931716
-91.665868,1600,512.843464
-96.93278,1600,516.900399
-98.030812,1600,520.843384
-94.377708,1600,524.915059
-97.271364,1600,529.033479
-90.066178,1600,533.009645
-99.650108,1600,537.085254
-99.745784,1600,541.215934
-97.465606,1600,545.312261
-92.376948,1600,549.320554
-86.927819,1600,553.252121
-98.773384,1600,557.399312
-115.862248,1600,561.288289
-132.141138,1600,565.220958
-120.812549,1600,569.248163
-103.16813,1600,573.155434
-76.435592,1600,577.025995
-72.972718,1600,580.977427
-85.591753,1600,584.877624
-83.267992,1600,588.803055
-123.398002,1600,592.705833
-74.171939,1600,596.659764
-51.30024,1600,600.664028
-80.281506,1600,604.669952
-54.795158,1600,608.782534
-55.839267,1600,612.792724
-61.219436,1600,616.915381
-77.279712,1600,620.980945
-81.143679,1600,624.878061
-79.540898,1600,628.992954
-79.903104,1600,633.121047
-56.747911,1600,637.089013
-58.68223,1600,641.159554
-77.945333,1600,645.059709
-92.159497,1600,649.078533
-88.660697,1600,653.193825
-83.15256,1600,657.331136
-73.983649,1600,661.358223
-105.631479,1600,665.414001
-77.043412,1600,669.453826
-92.629254,1600,673.505676
-64.401377,1600,677.577762
-71.269962,1600,681.687164
-71.85213,1600,685.719189
-75.235682,1600,689.825236
-79.177622,1600,693.965663
-83.942343,1600,697.979798
-63.645458,1600,702.027017
-83.748814,1600,706.142786
-75.743497,1600,710.073088
-81.355141,1600,714.157588
-72.588964,1600,718.062704
-118.817029,77,721.401299
-73.466521,1600,722.168294
-75.572829,1600,726.172928
-70.795196,1600,730.113602
-66.883344,1600,734.131762
-78.195241,1600,738.081796
-87.00782,1600,742.046515
-87.741725,1600,746.036089
-77.98752,1600,750.012619
-42.830959,1600,754.01343
-73.329745,1600,758.006582
-65.980524,1600,761.979392
-114.357948,1600,766.065942
-49.278767,1600,770.099709
-54.079223,1600,774.123122
-48.89585,1600,778.140388
-53.18642,1600,782.085569
-51.747109,1600,786.21902
-59.154682,1600,790.310139
-74.655735,1600,794.251702
-55.927987,1600,798.371643
-52.034314,1600,802.476835
-54.687353,1600,806.672439
-46.75423,1600,810.787332
-53.993991,1600,814.714772
-57.146986,1600,818.81397
-61.350305,1600,822.91156
-45.116024,1600,826.855564
-55.240822,1600,830.968227
-50.993936,1600,835.113365
-45.442637,1600,839.097591
-46.120316,1600,843.092445
-50.36296,1600,847.108851
-50.252289,1600,851.215182
-51.305026,1600,855.202516
-47.251116,1600,859.344842
-52.657434,1600,863.504189
-43.377094,1600,867.62775
-52.001512,1600,871.629358
-28.566116,1600,875.60106
-26.151081,1600,879.602298
-42.790367,1600,883.663261
-34.431514,1600,887.764514
-36.032957,1600,891.769749
-42.525116,1600,895.744468
-48.466753,1600,899.841077
-48.154708,1600,903.965712
-50.822667,1600,908.086795
-48.169982,1600,912.257833
-49.510209,1600,916.397081
-43.210524,1600,920.443368
-41.693689,1600,924.391837
-43.64648,1600,928.333057
-40.827085,1600,932.363685
-43.851336,1600,936.394873
-43.803463,1600,940.420155
-46.725649,1600,944.368716
-107.974394,1600,948.439296
-63.807953,1600,952.571974
-79.075928,1600,956.643955
-73.058902,1600,960.757333
-41.229758,1600,964.722412
-64.938336,1600,968.784576
-68.477945,1600,972.772678
-66.778357,1600,976.761645
-54.301246,1600,980.877349
-63.182526,1600,984.953962
-78.94957,1600,989.063811
-53.041666,1600,993.142636
-55.295833,1600,997.091368
-58.09752,1600,1001.074981
-67.208428,1600,1005.077897
-49.329194,1600,1009.10882
-65.0439,1600,1013.117186
-42.148918,1600,1017.074327
-26.48287,1600,1021.000115
-54.62561,1600,1025.01306
-52.343324,1600,1029.027079
-28.637985,1600,1032.970297
-25.363473,1600,1037.069879
-58.055253,1600,1041.079293
-18.054075,1600,1045.041592
-24.78459,1600,1048.969006
-23.339489,1600,1052.938428
-52.305171,1600,1056.955336
-16.504615,1600,1061.046317
-61.861621,1600,1065.155558
-59.118153,1600,1069.113624
-28.774733,1600,1073.235912
-57.58551,1600,1077.286986
-38.340144,1600,1081.300225
-110.096894,88,1084.716806
-46.855361,1600,1085.515791
-48.188181,1600,1089.484147
-31.125991,1600,1093.411516
-20.823686,1600,1097.466128
-31.903011,1600,1101.479132
-31.750716,1600,1105.641643
-34.042057,1600,1109.778682
-29.681533,1600,1113.934315
-29.972219,1600,1118.073364
-24.409711,1600,1122.223815
-32.553379,1600,1126.331656
-47.470013,1600,1130.469199
-33.980951,1600,1134.605556
-18.144914,1600,1138.752348
-35.44504,1600,1142.916013
-37.971524,1600,1147.074013
-32.709375,1600,1151.105027
-4.939767,1600,1155.032028
-32.028511,1600,1159.157073
-21.70272,1600,1163.312467
-10.891299,1600,1167.298638
-18.595971,1600,1171.310446
-32.621627,1600,1175.485589
-30.474513,1600,1179.548848
-12.837129,1600,1183.570107
-33.701302,1600,1187.576799
26.733302,1600,1191.62026
-35.175671,1600,1195.649144
-18.107048,1600,1199.810943
-9.738204,1600,1203.947293
-27.411577,1600,1207.968956
-32.119407,1600,1211.945094
-25.861648,1600,1215.899717
-26.992867,1600,1219.858293
34.996386,1600,1223.798423
6.910181,1600,1227.699358
10.204986,1600,1231.807864
33.884259,1600,1235.776881
27.816749,1600,1239.700835
44.175349,1600,1243.622239
55.65346,1600,1247.572248
50.131385,1600,1251.528604
59.898011,1600,1255.537622
39.51547,1600,1259.566488
57.501475,1600,1263.542808
57.018339,1600,1267.656529
68.281516,1600,1271.719522
67.931798,1600,1275.645341
92.241657,1600,1279.654032
90.461515,1600,1283.612955
101.550984,1600,1287.554775
118.554522,1600,1291.500074
107.820159,1600,1295.514567
96.80764,1600,1299.603161
96.043687,1600,1303.561772
77.445888,1600,1307.548639
119.197425,1600,1311.450344
132.648128,1600,1315.400216
123.616998,1600,1319.489336
126.79518,1600,1323.64157
130.45443,1600,1327.774296
137.567892,1600,1331.776587
113.778608,1600,1335.715733
150.232198,1600,1339.644684
114.998698,1600,1343.612807
113.389501,1600,1347.678009
127.49749,1600,1351.64719
148.419164,1600,1355.69856
161.686776,1600,1359.65448
129.517766,1600,1363.600136
119.944022,1600,1367.524124
130.389806,1600,1371.60086
177.81858,1600,1375.613657
177.548577,1600,1379.748855
-69.942753,292,1383.262165
190.704013,1600,1384.436449
188.125988,1600,1388.597228
186.665399,1600,1392.538002
165.509819,1600,1396.602902
174.945875,1600,1400.735106
201.224256,1600,1404.816583
201.781014,1600,1408.948169
228.421416,1600,1412.96331
194.287861,1600,1416.978147
194.95218,1600,1421.085105
220.066696,1600,1425.235343
222.089139,1600,1429.306732
217.658539,1600,1433.446955
204.184071,1600,1437.440427
248.9876,1600,1441.352272
228.987144,1600,1445.458325
237.241329,1600,1449.492974
112.207821,1481,1453.419195
-29.989761,1600,1457.27735
242.548249,1600,1461.428643
233.095501,1600,1465.554204
250.886575,1565,1469.547422
237.689638,1600,1473.610984
229.659499,1600,1477.68995
-3.677716,1600,1481.756306
242.302016,1600,1485.693012
220.80386,1600,1489.784286
116.260293,1390,1493.654824
249.149072,1557,1497.12132
-121.231723,73,1500.580055
-124.27946,66,1500.767956
-129.012108,90,1500.93992
-126.428221,72,1501.155462
-52.730731,501,1501.48025
-120.159213,61,1502.627435
-116.708052,54,1502.782334
-119.391125,68,1502.927772
-118.069403,57,1503.100702
-115.405248,51,1503.248703
-118.088073,58,1503.385651
-119.021939,76,1503.543249
-114.277031,66,1503.736955
-89.196771,244,1503.973194
-121.176247,122,1504.533817
-119.826481,77,1504.852119
-118.875947,71,1505.046215
-118.673204,68,1505.230287
-119.690755,78,1505.403142
-120.767706,73,1505.598249
-123.16793,75,1505.785526
-125.150992,74,1505.981224
-125.020721,69,1506.170535
-128.381482,81,1506.352015
-131.010117,92,1506.565317
-125.456414,90,1506.807157
-125.996015,88,1507.060017
-74.700359,305,1507.347815
-123.196475,83,1508.002513
239.642893,1579,1508.736635
-113.053253,133,1512.299703
-63.734194,1600,1513.122231
-70.513034,1600,1517.224187
-81.715046,1600,1521.29565
-91.409023,1600,1525.423884
250.362573,1552,1529.388496
253.230136,1578,1533.428881
-20.392631,741,1537.209895
256.532801,1547,1539.390688
244.656456,1600,1543.388727
238.120965,1600,1547.506136
212.603405,1600,1551.646193
246.429261,1600,1555.770482
253.785131,1546,1559.875498
257.799015,1444,1563.859888
250.560876,1579,1567.609681
253.213859,1480,1571.658577
243.535932,1600,1575.558053
255.843808,1495,1579.519971
261.642991,1396,1583.316224
263.782475,1378,1586.905783
255.26297,1414,1590.447769
264.381838,1370,1593.999664
252.952467,1498,1597.43358
252.03395,1537,1601.214106
251.894165,1508,1605.137168
262.407838,1347,1608.856266
267.212154,1346,1612.131117
267.751196,1312,1615.536448
258.585894,1421,1618.784748
274.999473,1229,1622.267559
274.114285,1239,1625.326885
269.243624,1277,1628.494218
278.5398,1189,1631.758785
-18.347178,364,1634.568944
274.246606,1210,1635.791597
281.12674,1145,1638.799345
272.266995,1274,1641.797812
271.876861,1288,1644.993438
271.636343,1260,1648.260105
277.176163,1202,1651.47426
276.204973,1191,1654.464913
272.065514,1290,1657.554595
282.529648,1151,1660.7476
280.557138,1180,1663.67172
285.427768,1115,1666.613187
277.736479,1237,1669.425179
277.590681,1193,1672.506676
277.812731,1245,1675.514617
281.290541,1196,1678.543253
277.349417,1172,1681.499829
282.926425,1173,1684.405417
281.480571,1160,1687.361956
277.110532,1165,1690.215501
278.816,1150,1693.0836
285.224403,1160,1695.910877
284.79289,1128,1698.897783
284.771003,1095,1701.754872
281.896767,1146,1704.547157
281.583221,1191,1707.469718
284.819956,1180,1710.474838
283.143877,1148,1713.457143
284.44558,1179,1716.386726
291.466069,1049,1719.348031
289.307249,1064,1722.023044
288.714358,1097,1724.736159
283.88939,1161,1727.53126
287.904608,1112,1730.475147
289.799823,1069,1733.286677
291.605916,1076,1735.995732
291.138865,1060,1738.706254
295.627506,1065,1741.392211
290.659503,1105,1744.064728
297.062732,988,1746.83912
290.011343,1088,1749.392828
279.177673,1228,1752.159906
-143.099054,1600,1755.346377
