#{"t_start": 1768743802.947394, "env_id": "BipedalWalker-v3"}
r,l,t
-118.417989,1600,2.285766
-101.128586,92,2.417507
-107.166467,65,2.51081
-112.246426,1600,9.510905
-106.183518,72,9.612066
-177.12737,768,15.294906
-104.572712,77,15.404095
-105.993323,66,15.497894
-114.15262,67,15.599687
-122.452039,1600,17.874449
-125.871584,1600,24.921787
-117.378839,64,25.016628
-105.22165,1600,31.940729
-107.57903,71,32.043522
-101.930673,1600,39.350044
-99.201007,1600,46.664183
-93.857096,1600,49.00651
-77.314872,1600,55.933406
-80.497812,1600,63.119931
-114.023378,49,63.191919
-75.392969,1600,70.401109
-71.26446,1600,77.559173
-72.391473,1600,79.835064
-67.108189,1600,86.702553
-51.378216,1600,93.726289
-119.536129,106,93.872588
-52.784096,1600,101.00332
-102.947899,175,101.256558
-115.351217,61,101.34027
-37.997388,1600,108.432324
-21.422448,1600,110.647822
-17.637588,1600,117.379129
-13.145464,1600,124.444692
-13.535104,1600,131.509394
10.32233,1600,138.476743
-103.095407,117,138.639981
-3.85025,1600,140.875258
-117.983063,85,140.994573
38.19755,1600,148.067471
43.240809,1600,155.023948
44.735949,1600,162.139137
-119.152085,306,162.546644
57.618953,1600,169.395679
66.586479,1600,171.615758
-89.772321,280,176.712928
76.21759,1600,178.91345
87.453834,1600,185.969258
-27.357222,1146,192.446852
85.024905,1600,199.441812
88.171626,1600,201.581247
93.429912,1600,208.614223
99.1611,1600,215.670779
134.719535,1600,222.757085
-113.195048,40,222.813994
-108.368659,121,222.97641
133.00821,1600,225.13747
113.255234,1600,232.124599
-113.26871,45,232.184815
132.658107,1600,239.156115
-75.219559,557,239.885173
140.170937,1600,246.765516
158.552098,1600,253.540622
190.503687,1600,260.356518
150.916244,1600,262.498006
38.295893,1271,268.892119
175.76214,1600,275.719924
-31.949304,1029,277.098783
172.692672,1600,284.004625
55.610513,1406,290.930118
-103.166519,129,291.105742
-124.880486,121,291.269215
-110.996353,46,291.332602
-102.144587,159,291.548112
17.199306,968,297.692094
-41.620701,600,298.495879
-56.381153,418,299.064883
-30.36185,645,299.951362
-118.945878,83,300.06529
-115.980684,47,300.130879
195.24845,1600,306.917484
18.950212,1022,312.928811
186.197934,1600,315.102884
-72.097742,306,320.17126
-41.183927,595,320.95622
-85.098358,253,321.297005
81.904298,1424,327.890872
219.943467,1600,334.807298
198.924906,1600,336.990775
193.691309,1600,343.979006
13.868642,985,349.969947
-113.305551,61,350.052152
210.67646,1600,352.230045
163.76683,1600,359.06066
-93.191214,139,359.248289
-15.900303,768,365.143739
219.273896,1600,367.306314
226.327748,1600,374.377358
204.339529,1600,381.2581
243.54345,1575,388.248791
219.345211,1600,390.429358
238.12217,1600,397.498096
106.112789,1408,404.242602
242.364549,1582,411.030647
74.485094,1253,412.68485
243.825206,1599,419.446531
-54.504907,455,420.068284
249.236147,1498,426.766999
220.126966,1600,433.568017
246.101016,1559,440.510718
-113.295062,51,440.578273
248.838709,1500,442.599027
251.300742,1468,449.275952
-114.079058,49,449.342082
70.954522,1038,455.386827
-96.144617,188,455.639214
251.796274,1462,457.626565
252.799441,1421,464.254336
250.390824,1456,471.00007
-113.022329,50,471.068751
20.982171,917,472.308343
23.429761,702,478.239515
249.308575,1492,480.25364
246.175737,1509,487.004393
248.881448,1469,493.707517
242.627515,1564,500.500529
242.211894,1562,502.58899
23.483471,771,508.505771
233.535518,1600,515.320206
-69.21594,361,515.802477
90.807993,1208,517.426879
244.794877,1538,524.069956
29.989111,955,529.962617
237.153032,1587,532.084252
247.298912,1489,538.698971
243.942297,1503,545.336487
258.650019,1350,547.132953
252.007806,1430,553.593023
255.77394,1380,560.169581
262.827524,1306,561.923695
260.023285,1328,568.691304
257.2853,1384,575.52103
255.483806,1331,577.325636
-115.333539,115,577.480521
258.084825,1353,584.264035
258.478963,1343,590.873166
262.914883,1310,592.647048
258.712101,1355,599.45097
254.887564,1402,606.250017
-125.52502,101,606.388392
259.913183,1315,608.174303
97.315184,969,614.078535
257.749119,1337,620.804041
261.617177,1291,622.561625
-6.859761,736,628.496057
267.811195,1209,630.146247
264.908577,1268,636.458971
265.641136,1269,638.182551
267.904977,1214,644.456723
269.562857,1202,650.791578
262.178401,1284,652.524997
-114.019415,49,652.591066
267.111946,1211,658.84857
261.818348,1271,660.575134
267.536061,1225,667.008759
130.580594,1145,673.446644
264.669358,1263,675.12976
265.713305,1241,681.664976
264.894857,1239,683.342097
264.178789,1280,689.645448
-84.668498,225,689.94381
