#{"t_start": 1768743802.9464903, "env_id": "BipedalWalker-v3"}
r,l,t
-101.668168,69,0.114935
-116.805148,1600,2.383493
-107.626632,57,2.464707
-115.436539,90,2.592876
-120.38972,104,2.741444
-116.281937,79,2.851953
-109.623873,54,7.663202
-106.240565,59,7.748299
-102.917485,1600,10.011669
-112.673374,1600,16.884434
-112.811682,1600,23.913436
-105.558382,1600,30.840855
-112.064818,1600,33.139008
-107.864502,1600,40.473736
-103.321728,1600,47.809226
-97.655685,1600,54.733958
-101.005256,81,54.853347
-87.39003,1600,62.014109
-76.415014,1600,64.339194
-73.979783,1600,71.517895
-113.986951,94,71.648335
-111.426037,53,71.723062
-72.372361,1600,78.915604
-68.363935,1600,85.792906
-57.002531,1600,92.815184
-59.287335,1600,95.055261
-50.668715,1600,102.173239
-33.185598,1600,109.27795
-37.217474,1600,116.006884
-15.352227,1600,118.203922
-20.672011,1600,125.261907
-13.783376,1600,132.325401
17.670167,1600,139.316618
31.563436,1600,146.434397
37.846139,1600,148.633075
31.528655,1600,155.595302
39.17109,1600,162.682319
65.109867,1600,169.532918
85.246778,1600,176.463135
-113.035069,39,176.520187
92.854305,1600,178.719214
-20.732537,1596,185.772462
-86.489151,292,186.166411
-22.513325,1356,192.916003
78.985444,1600,199.913741
108.168731,1600,202.056266
123.100803,1600,209.092155
109.988748,1600,216.164832
141.840374,1600,223.247142
107.62335,1600,230.249253
102.376279,1600,232.381239
-96.562895,108,232.52328
-57.938116,867,238.524339
122.832109,1600,245.403965
171.240021,1600,247.545219
-27.562328,786,253.215242
-80.89575,325,253.65111
151.461876,1600,260.469758
173.406785,1600,267.303883
60.26664,1529,269.34115
177.785391,1600,276.167513
198.472392,1600,283.052098
203.976581,1600,290.247689
-98.298799,139,290.440938
189.113058,1600,292.624113
225.919669,1600,299.622095
214.191874,1600,306.41573
202.699064,1600,313.204237
212.579927,1600,320.032025
198.859774,1600,322.179593
208.619169,1600,329.017141
178.360294,1600,335.936177
194.277901,1600,342.93968
208.994397,1600,345.104996
217.095627,1600,351.932156
-117.883041,66,352.021875
181.213682,1600,358.850894
209.693505,1600,365.863735
-18.195405,1037,367.271945
194.751155,1600,374.342855
232.344095,1600,381.223221
240.921296,1600,388.247698
-64.520735,358,388.736969
237.124584,1600,395.824868
51.097417,1210,397.454511
34.949014,1047,403.728555
245.507771,1551,410.468597
232.525064,1600,412.583167
246.509456,1543,419.269768
220.089218,1600,426.120995
64.838016,1087,427.575961
244.793625,1554,434.31903
244.253293,1525,441.237725
-111.670775,73,441.33424
244.84443,1530,448.093765
249.243926,1489,450.078914
249.123943,1484,456.739193
248.751544,1512,463.497464
251.664062,1442,470.213634
250.80702,1462,472.188146
254.829309,1384,479.044289
-123.85503,47,479.116019
236.548112,1600,485.992532
250.418801,1465,487.942451
-111.354989,117,492.833885
118.718276,1448,494.781973
-83.78695,246,495.132683
247.154511,1512,501.835451
-46.628887,449,502.429777
251.009315,1461,509.272608
255.365323,1396,515.815589
-20.071439,552,516.552595
244.79446,1542,523.191522
21.614913,857,524.368089
252.715896,1413,530.848419
248.621968,1468,537.444737
254.422261,1420,539.336201
252.949406,1441,545.890218
249.777184,1464,552.393542
249.385209,1458,554.333076
255.332336,1355,560.895707
251.201991,1438,567.814502
245.469673,1492,569.823494
265.390288,1266,576.492086
-115.376299,50,576.55904
256.084602,1367,583.375478
261.638348,1290,585.113667
252.915719,1406,591.806567
265.309511,1264,598.499901
11.504899,639,599.349861
128.71365,1197,605.87027
262.676652,1309,607.661417
53.500876,907,613.471177
267.702127,1232,615.153693
263.907256,1266,621.783149
263.876608,1286,628.4551
-35.820453,411,629.016742
-123.012176,112,629.166961
259.221527,1317,630.963936
55.042595,816,636.676546
261.498308,1299,638.423503
263.05707,1272,644.777177
63.540857,944,650.763574
264.790913,1249,652.450016
259.34818,1294,658.81889
257.193415,1312,660.605611
106.804771,1053,666.810862
-52.286475,424,667.371606
250.474838,1430,674.178789
269.783202,1217,675.805198
258.788405,1327,682.471226
261.44609,1288,688.781927
265.385999,1254,690.463666
