#{"t_start": 1768743802.9453936, "env_id": "BipedalWalker-v3"}
r,l,t
-109.482785,55,0.093756
-100.627435,110,0.252193
-103.888993,98,0.393967
-116.277341,55,0.469587
-113.373032,50,0.543105
-104.076105,80,0.65827
-117.944978,59,0.742751
-103.65281,71,0.84529
-110.18165,61,0.932875
-108.046938,57,1.01353
-115.117903,1600,8.009027
-109.551793,1600,10.269441
-117.278553,63,10.358209
-119.870842,69,10.456023
-121.584329,1600,17.32833
-102.127229,84,17.446886
-103.452773,1600,24.488269
-115.418988,48,24.559223
-110.656303,1600,31.491419
-107.501278,72,31.593928
-108.328684,1600,38.901385
-104.543093,1600,41.223399
-92.349181,1600,48.562128
-111.611798,56,48.642133
-89.113147,1600,55.570961
-108.623875,129,55.753672
-110.236455,110,55.912183
-76.386872,1600,63.097769
-80.952808,1600,70.309011
-76.415128,1600,77.468448
-62.027067,1600,79.742066
-62.855098,1600,86.612443
-72.161647,1600,93.63595
-56.889111,1600,100.765216
-56.292531,1600,102.984556
-110.247201,49,103.052777
-107.840665,81,103.167098
-27.430116,1600,110.273641
-15.822866,1600,117.006021
-25.095274,1600,124.076111
-8.244193,1600,131.141378
-4.261366,1600,133.312852
12.686388,1600,140.337358
12.541064,1600,147.414096
33.753591,1600,154.375155
54.609631,1600,161.478122
47.193002,1600,163.642334
75.383199,1600,170.507198
78.42124,1600,177.451197
-113.654677,75,177.558968
84.513943,1600,184.654311
-91.588319,277,185.028365
101.306202,1600,192.095014
81.231702,1600,194.233275
109.534158,1600,201.242794
-123.885997,99,201.372973
12.715753,1467,208.22855
116.569384,1600,215.282765
104.867,1600,217.43983
114.625237,1600,224.523413
126.129957,1600,231.512168
-113.516266,48,231.581792
-94.495802,208,231.867875
119.761591,1600,238.836573
139.599107,1600,245.716044
137.728528,1600,252.47914
-130.420413,144,252.673523
162.025128,1600,254.823285
165.766176,1600,261.646927
147.256319,1600,268.464979
171.888686,1600,275.290694
-122.585278,69,275.382212
-116.74192,73,275.480201
206.642045,1600,282.351282
191.283786,1600,284.527571
220.137307,1600,291.719875
190.343875,1600,298.711744
-117.280722,60,298.792569
189.566522,1600,305.585339
-32.748637,783,306.658349
-116.226513,67,306.751556
205.348753,1600,313.541278
181.900319,1600,320.366247
200.044503,1600,322.518976
72.219934,1429,329.125506
198.307717,1600,336.044324
-58.91162,397,336.5775
-98.851135,126,336.748061
-56.15149,556,337.546266
-113.554296,45,342.406955
221.969993,1600,344.566291
-124.023849,104,344.706554
170.386698,1600,351.537003
216.436601,1600,358.366488
195.680309,1600,365.382257
216.220511,1600,367.546855
217.744245,1600,374.619271
222.587225,1600,381.500848
195.319988,1600,388.523473
91.099696,1246,390.229538
244.680889,1576,397.259586
248.008658,1529,404.17323
241.967681,1594,410.977625
248.228976,1539,413.009654
-114.223213,71,413.104927
-28.759629,547,418.467977
248.549411,1504,425.169871
230.503269,1600,427.319582
250.405867,1501,433.986288
234.850638,1600,441.018845
216.526256,1600,447.873776
243.638027,1526,449.901587
-117.186338,58,449.983392
253.431506,1437,456.562144
256.029831,1423,463.194238
251.959853,1444,465.135137
246.536463,1532,472.00788
247.202284,1495,479.008766
50.762742,964,480.312378
-29.310783,519,485.721207
246.390482,1511,487.753448
251.34501,1452,494.439148
242.441527,1524,501.172511
245.374769,1512,508.059384
-32.899258,526,508.791363
251.844637,1444,515.398266
-13.558186,543,516.122455
243.52156,1530,522.740203
249.750701,1482,524.75488
76.407855,1069,530.769355
250.688254,1433,537.326802
255.010218,1405,539.200085
245.204527,1520,545.856661
255.741084,1397,552.273379
97.815988,1174,553.846811
255.793384,1369,560.416306
136.165168,1300,562.155726
-50.619603,372,567.644165
252.337438,1432,569.57279
255.47646,1384,576.398443
-43.222967,417,576.956156
258.058818,1341,583.738438
263.53029,1278,590.25284
263.209227,1308,592.025757
-113.631105,53,592.099035
263.856627,1283,598.80895
262.203713,1295,600.520357
22.169226,811,606.561627
259.624885,1343,612.974406
-64.153666,306,613.386332
264.493593,1276,615.126047
265.408886,1248,621.732191
261.237488,1288,628.406401
261.938822,1295,630.178751
258.384662,1349,636.605111
261.992149,1288,638.346203
263.745105,1290,644.722001
256.929829,1380,651.293478
259.796105,1329,653.089197
125.302252,1177,659.323487
262.884481,1288,665.845415
254.396739,1375,667.678479
-118.40471,54,667.749808
264.281854,1254,674.325527
254.25267,1407,681.07476
259.352552,1316,682.866569
265.781642,1229,689.091877
258.460122,1349,690.915701
