#{"t_start": 1768743802.945955, "env_id": "BipedalWalker-v3"}
r,l,t
-102.981564,66,0.109546
-128.586932,1600,2.377719
-104.852486,89,2.507295
-103.129085,69,2.606443
-104.066772,82,2.721298
-116.864306,71,2.820673
-110.07297,41,2.882238
-122.339334,96,7.753523
-110.740488,41,7.809526
-105.781908,67,7.902917
-232.869528,1541,10.082547
-130.408702,1600,16.958736
-105.383522,134,17.146388
-110.251407,1600,24.178796
-107.941789,45,24.242859
-108.698255,1600,31.164962
-102.209057,1600,38.480694
-93.98739,1600,40.807231
-98.116482,1600,48.142059
-89.977486,1600,55.07221
-74.795073,1600,62.233281
-70.566092,1600,64.557169
-63.778479,1600,71.728149
-72.667755,1600,78.920972
-73.096519,1600,85.798308
-62.352958,1600,92.820575
-62.731437,1600,95.060684
-46.071437,1600,102.178472
-58.605476,1600,109.283411
-41.9234,1600,116.012262
-27.371304,1600,118.209058
-19.646686,1600,125.26704
-14.639871,1600,132.330545
-18.731701,1600,139.322453
6.742712,1600,146.440032
20.19869,1600,148.638534
29.731873,1600,155.600742
54.168351,1600,162.687452
64.535848,1600,169.538199
80.1392,1600,176.46863
-121.875599,61,176.555055
88.761499,1600,178.755024
85.004004,1600,185.811792
-78.483199,503,186.488981
82.847874,1600,193.566163
93.92686,1600,200.570541
125.672471,1600,207.606399
117.490593,1600,209.743955
108.484591,1600,216.814925
95.867253,1600,223.902017
129.807326,1600,230.891353
-87.711788,140,231.076113
128.474583,1600,238.044504
143.688703,1600,240.172638
161.681711,1600,247.056399
140.454016,1600,253.833634
-119.16133,77,253.934043
179.804794,1600,260.754453
155.138188,1600,267.593708
-114.972111,57,267.679243
168.131221,1600,269.801132
81.073203,1510,276.502816
172.478859,1600,283.409494
194.261189,1600,290.596613
-117.575877,67,290.689562
-78.609238,264,291.046453
213.709954,1600,298.046242
-122.079517,78,298.151744
-7.050858,830,299.283698
-115.860088,54,299.356964
-122.085513,91,299.480788
171.575223,1600,306.27999
6.325463,853,307.410925
-119.020037,72,307.510967
24.320596,1048,313.571243
224.20996,1600,320.394238
-51.540601,583,321.164407
196.96055,1600,327.999289
16.84999,996,329.351504
186.837508,1600,336.272901
196.9008,1600,343.271478
204.162471,1600,350.094621
73.337376,1590,352.257443
-39.509913,860,358.087028
211.415796,1600,365.105048
72.620777,1452,367.066666
31.62411,1279,373.715355
194.659486,1600,380.588252
231.004306,1600,382.744432
227.324025,1600,389.797837
35.626407,1005,396.075893
234.814873,1600,403.089727
243.487549,1580,405.198451
194.823618,1600,411.988828
239.108904,1600,418.744043
242.558905,1598,425.57822
243.56525,1570,427.689451
236.779876,1600,434.491915
237.01062,1600,441.51076
218.571407,1600,448.360176
29.7538,937,449.599877
241.794191,1586,456.382334
-119.124137,61,456.46558
-84.852746,196,456.753922
-117.296329,65,456.841444
246.651777,1543,463.645184
249.600294,1456,470.375346
250.284658,1482,472.390357
251.250184,1434,479.316958
246.725179,1502,486.052978
248.162611,1471,488.010491
253.254386,1430,494.667829
250.298161,1456,501.308012
253.086335,1449,508.113968
249.579043,1480,510.115033
254.687007,1397,516.661257
250.501765,1468,523.203608
257.360006,1366,525.062186
250.293351,1422,531.567897
254.901283,1396,538.062283
254.330184,1403,539.927339
256.592905,1382,546.394812
248.412676,1486,552.916737
257.685403,1343,559.445839
250.979051,1423,561.36907
256.686331,1391,568.221087
261.553425,1309,574.931257
259.680138,1348,576.764183
-59.529989,400,577.309858
258.672332,1340,584.080356
260.008027,1312,590.642714
257.423387,1372,592.502236
262.984796,1291,599.216953
-127.498428,91,599.340399
262.526289,1291,605.988066
268.990195,1206,607.640074
39.406226,761,613.254689
54.356691,883,614.45956
266.590589,1244,621.066431
266.388299,1225,622.718231
255.138964,1399,629.549873
259.943603,1315,635.949702
154.809398,1302,637.712787
261.471496,1274,644.070799
263.86732,1285,645.798604
88.949997,934,651.758467
-117.661496,67,651.849826
266.594517,1227,658.12554
260.197677,1320,659.934748
267.584627,1229,666.389381
263.35712,1243,668.028949
-72.208362,310,673.364658
266.777121,1239,675.012817
138.382414,1227,681.514993
130.261228,1142,683.075175
268.661717,1208,689.276593
-116.312875,53,689.350076
