#{"t_start": 1768743802.944867, "env_id": "BipedalWalker-v3"}
r,l,t
-120.345468,1600,2.286047
-100.029234,86,2.409445
-99.27563,56,2.489254
-100.694046,60,2.574285
-116.781981,69,2.673345
-106.855223,140,2.871433
-107.431449,98,7.743651
-127.284585,1600,10.00659
-108.332879,61,10.094927
-230.397768,1510,16.840866
-111.522332,1600,23.867261
-111.895608,1600,30.795564
-114.443205,61,30.885044
-115.916459,1600,33.183197
-105.689106,1600,40.518144
-109.847499,72,40.622045
-113.136048,59,40.707057
-97.6588,1600,48.042075
-106.606137,71,48.146441
-88.297126,1600,55.076508
-108.702135,89,55.203876
-85.82934,1600,62.366868
-78.90236,1600,64.687649
-114.075376,59,69.703449
-71.167829,1600,71.954178
-115.037565,99,72.094117
-119.768315,62,72.181318
-71.791645,1600,79.350853
-67.149984,1600,86.228311
-59.717236,1600,93.249581
-42.892428,1600,100.389118
-34.590715,1600,102.603998
-28.869666,1600,109.70221
-104.237421,67,109.794258
-35.23799,1600,116.523944
-19.213615,1600,123.617966
-18.39324,1600,125.770389
-9.09073,1600,132.854704
15.702985,1600,139.852687
30.416083,1600,146.95248
23.161034,1600,153.921434
46.800262,1600,156.114777
58.795461,1600,163.189495
44.626693,1600,170.048517
92.420342,1600,176.986126
73.654139,1600,179.18732
82.344646,1600,186.238354
-44.312176,1431,193.086112
90.836742,1600,200.092688
100.990603,1600,207.136477
-116.815129,61,207.218997
96.876528,1600,209.352417
130.395733,1600,216.418694
103.977411,1600,223.503814
-50.736322,718,224.46149
150.703366,1600,231.450838
-129.439983,102,231.596354
110.544802,1600,238.572013
-89.198788,138,238.754333
171.772355,1600,245.633829
138.239536,1600,247.772328
-119.138885,48,252.458537
-99.083845,117,252.618486
165.621044,1600,254.767785
160.105234,1600,261.590869
175.803507,1600,268.409618
174.610584,1600,275.236207
176.554712,1600,277.369235
193.247976,1600,284.280885
-15.124357,786,290.361431
-117.680118,58,290.445469
215.04546,1600,292.628855
-73.600262,240,297.775443
-113.609541,42,297.833741
-22.196807,645,298.694578
-129.523499,113,298.849673
189.726735,1600,305.643855
189.270262,1600,312.417231
5.584607,810,313.545048
12.867401,943,314.817525
-59.823169,343,319.949219
-97.557651,131,320.125836
203.553238,1600,322.272841
10.784369,1003,328.295019
199.065773,1600,335.227934
30.227069,1075,336.672643
215.948517,1600,343.670611
-102.03436,129,343.846442
221.852456,1600,350.680064
227.42157,1600,357.488634
203.4964,1600,359.678109
-112.759277,40,359.734669
183.46143,1600,366.751068
-73.11549,300,367.155143
208.936822,1600,374.225685
204.650708,1600,381.104608
238.972897,1600,388.131155
92.570426,1519,390.203353
228.749799,1600,397.268919
-114.811834,46,397.331935
-113.930594,46,397.39358
241.360656,1597,404.391765
-6.973654,787,405.457749
-20.660577,628,410.957956
232.71782,1600,413.073061
134.180002,1566,419.796386
-51.823359,410,420.354709
4.083002,774,426.088642
244.056203,1541,432.818103
248.247251,1490,434.804032
246.722,1543,441.747026
-111.777778,40,441.803645
241.978308,1586,448.637541
253.033898,1438,455.199483
-12.945751,616,456.028506
61.53395,988,457.380316
253.050483,1430,464.025106
-31.358229,510,464.698036
245.093788,1538,471.563528
252.87029,1436,478.489483
-116.265222,52,478.561778
-66.424457,430,479.155853
254.698296,1415,485.762661
-33.164463,531,486.486405
252.29514,1448,493.156356
249.504877,1491,495.186107
122.896647,1502,501.871766
-117.176481,84,501.985121
248.125596,1488,508.856805
-37.759122,454,509.458233
223.536746,1600,516.279362
243.70597,1551,522.924904
244.79656,1523,524.997307
252.618443,1419,531.498329
246.172475,1507,538.145161
255.143622,1417,540.030987
259.893661,1335,546.431032
-68.027499,308,546.84953
257.595569,1343,553.17214
255.12545,1398,559.774746
256.812317,1380,561.640295
258.549325,1358,568.448069
249.273652,1469,575.386395
257.920969,1358,577.229767
262.399341,1285,583.926713
257.864603,1333,590.517973
253.582502,1429,592.451998
259.110566,1341,599.237281
262.769064,1270,605.855117
263.588215,1276,607.601176
-8.859069,526,608.302823
261.597943,1290,614.655858
261.117446,1294,621.326492
258.328976,1342,623.149797
265.399452,1225,629.732862
61.111008,886,630.947075
256.951411,1333,637.35104
263.677964,1259,643.698187
263.011492,1287,645.415864
-39.819878,396,650.674694
-51.520938,319,651.100003
-115.945649,51,651.168675
17.676041,692,652.097354
261.316241,1285,658.465736
264.101421,1247,660.165062
-61.838745,317,660.589589
262.168568,1278,667.093292
262.230525,1282,673.709986
264.602384,1258,675.388143
68.887106,818,681.344432
267.028703,1224,683.013086
270.223328,1215,689.222402
264.38315,1266,690.932998
