#{"t_start": 1768743802.9469304, "env_id": "BipedalWalker-v3"}
r,l,t
-106.315985,91,0.147282
-99.387858,88,0.271352
-107.22723,56,0.35124
-121.639226,105,0.499407
-105.935628,48,0.570001
-107.855385,65,0.665585
-118.744577,119,0.834113
-105.598402,101,0.979558
-119.469148,98,1.117159
-103.940434,1600,8.111947
-119.46914,100,8.254434
-107.774894,74,8.357797
-113.990701,75,8.464625
-107.956229,1600,15.32908
-114.503858,63,15.418593
-120.336809,1600,17.690518
-117.161262,1600,24.746395
-111.618776,45,24.812757
-106.018937,80,24.925791
-113.822816,1600,31.849707
-108.489631,1600,39.1549
-112.231104,42,39.215952
-110.233346,1600,46.526399
-107.586602,70,46.631561
-110.719587,69,46.733288
-92.932304,1600,49.074777
-80.400552,1600,56.002398
-77.595214,1600,63.187396
-76.596013,1600,70.396663
-84.834069,1600,77.55461
-78.264585,1600,79.830383
-69.706632,1600,86.698189
-57.158997,1600,93.721781
-57.316332,1600,100.851126
-114.377049,50,100.92118
-48.296572,1600,103.139526
-31.353027,1600,110.246125
-23.87693,1600,116.97888
-23.382176,1600,124.049268
-1.617864,1600,131.113628
-6.325924,1600,133.285161
17.757069,1600,140.308754
18.841932,1600,147.386266
31.832913,1600,154.347772
49.878848,1600,161.450128
55.492205,1600,163.615436
-79.319046,265,163.975282
-51.574579,1021,170.057089
-87.707975,565,170.827846
101.916516,1600,177.788019
93.31479,1600,184.86718
76.782796,1600,191.927834
102.391081,1600,194.072496
88.519236,1600,201.082993
-75.31807,396,201.608831
-57.376468,758,207.523318
102.419074,1600,209.659013
120.435955,1600,216.7312
113.925733,1600,223.815315
114.148415,1600,230.807205
118.698236,1600,237.777259
125.316323,1600,239.905515
127.699088,1600,246.786448
155.227429,1600,253.561351
145.066009,1600,260.377508
-115.134836,58,260.458115
184.221524,1600,267.292233
37.902512,1366,269.116253
-119.952438,88,269.231749
176.298093,1600,276.056514
25.670878,1191,282.392076
-43.77936,610,283.214961
179.254954,1600,290.4121
209.820516,1600,292.595132
187.847455,1600,299.593184
-78.997589,349,300.06887
-37.640316,708,305.634734
200.582121,1600,312.407922
190.244012,1600,314.600957
85.136263,1505,321.283853
-26.741207,555,322.038317
-63.78284,377,322.551905
-93.693322,138,327.408027
-107.428739,204,327.678345
44.279492,958,328.979449
11.327036,989,335.066957
209.510876,1600,337.260874
53.32942,1262,343.776077
206.609767,1600,350.609352
175.405416,1600,357.418602
197.202186,1600,359.607387
187.615125,1600,366.619331
220.57059,1600,373.70556
212.10529,1600,380.57826
246.80315,1575,382.701615
241.852449,1597,389.751428
230.782363,1600,396.816468
132.642171,1498,403.696424
221.840994,1600,410.505116
244.686117,1565,412.56931
249.046379,1544,419.256943
248.928408,1518,425.999049
250.176715,1508,432.683155
243.061296,1556,434.757758
212.790968,1600,441.779359
242.572703,1567,448.585615
245.536317,1530,455.275826
252.697489,1460,457.261897
243.632768,1555,464.075
115.718287,1361,470.689926
251.778196,1457,472.66875
249.874287,1482,479.655826
-19.101328,589,480.437669
58.001926,1089,486.62446
249.827272,1481,493.341003
111.000412,1328,495.145449
238.871779,1600,501.965951
119.209891,1400,508.718815
248.226707,1452,515.337516
251.014748,1441,517.256667
131.911459,1440,523.7818
-54.190158,440,524.385435
242.662638,1573,531.097304
254.739184,1422,537.619956
-122.169526,60,537.709245
254.676976,1413,539.572532
68.225884,852,545.353229
253.772678,1419,547.239498
255.428084,1404,553.666879
255.299907,1412,560.291146
-114.551143,73,560.390266
261.919879,1298,562.12706
252.587558,1435,569.039047
258.149711,1358,575.833657
258.286076,1353,582.6429
265.062776,1258,584.32468
264.220173,1266,590.827377
255.611658,1350,592.659052
263.449928,1289,599.372009
5.683734,760,600.367661
255.114664,1378,607.166448
258.67847,1332,613.569404
262.512387,1310,615.356692
-24.067787,469,620.905046
260.536479,1316,622.685176
262.284681,1282,629.358906
264.030055,1257,631.075805
269.318107,1210,637.310071
260.773072,1313,643.732596
-59.809171,283,644.113248
269.745369,1175,645.693176
264.418615,1233,652.057338
266.039064,1236,658.35369
267.681076,1223,660.027146
-5.038697,545,660.757465
256.446402,1329,667.327381
262.88649,1297,673.96146
267.158577,1219,675.587314
259.776188,1306,682.223042
145.672762,1190,688.406159
34.152078,692,689.337798
