#{"t_start": 1768743802.9478374, "env_id": "BipedalWalker-v3"}
r,l,t
-103.350312,80,0.130742
-102.172353,131,0.316356
-106.094199,41,0.37549
-102.936577,109,0.529599
-100.788749,75,0.637961
-107.038766,42,0.699861
-100.537342,84,0.817605
-107.743606,53,0.894339
-117.234434,90,1.026026
-111.271868,170,1.261999
-103.487993,82,1.375747
-123.601773,1600,8.375279
-115.898052,65,8.468542
-101.62213,82,8.584547
-106.459912,52,8.657444
-117.039249,52,8.730846
-100.143857,77,8.845164
-121.340768,1600,15.717618
-129.629459,1600,17.992291
-104.201737,1600,25.038226
-105.022104,84,25.159299
-116.808832,88,25.285681
-109.603378,118,25.451741
-121.102689,81,25.565607
-114.108582,67,25.661093
-97.067151,1600,32.584698
-117.592345,1600,39.891571
-98.395294,1600,47.244563
-93.631306,1600,54.175753
-97.717642,1600,56.498537
-112.318566,46,56.565267
-71.190535,1600,63.727929
-75.929524,1600,70.92922
-76.524665,1600,78.09716
-64.787755,1600,84.971857
-63.680916,1600,87.220926
-52.69862,1600,94.248503
-54.21931,1600,101.39051
-43.168336,1600,108.482072
-45.063636,1600,110.698119
-28.007511,1600,117.429349
-19.835596,1600,124.494256
-104.762012,87,124.611519
-9.112053,1600,131.675956
6.614775,1600,138.649675
33.028701,1600,140.885252
25.294033,1600,147.957529
42.331594,1600,154.914676
32.556207,1600,162.031232
56.736953,1600,164.199541
32.334969,1600,171.067784
88.246577,1600,178.015095
-50.98335,791,179.086866
-87.762334,387,184.518026
75.312584,1600,186.679063
101.782743,1600,193.73614
61.180779,1600,200.740638
89.889823,1600,207.77756
106.965969,1600,214.825595
-30.248595,1120,216.338742
-97.447702,113,216.492326
140.538531,1600,223.577764
105.949287,1600,230.573076
-99.409725,125,230.737143
127.623816,1600,237.705656
132.022104,1600,239.83412
-120.002495,65,239.923379
169.01102,1600,246.804857
162.464208,1600,253.580068
147.260065,1600,260.395811
178.287042,1600,262.535081
-117.91518,82,267.342801
165.434949,1600,269.475468
-5.865361,916,275.396457
40.589252,1117,276.887966
-5.01285,823,282.723346
188.705465,1600,284.896222
-88.398842,147,290.104065
196.497713,1600,292.285383
-78.696738,261,292.661563
-117.356851,73,297.579621
-120.876875,94,297.708029
214.59016,1600,299.879781
197.470817,1600,306.672429
17.149159,1013,312.657081
-25.697534,691,313.607766
227.375242,1600,320.429962
103.650567,1493,322.434427
-64.023152,542,327.832112
66.242496,1216,329.482973
204.822117,1600,336.405131
163.031677,1600,343.403266
177.792772,1600,350.235731
-111.411971,37,350.286987
206.834046,1600,352.451414
201.760061,1600,359.283071
41.551133,1092,365.612013
-77.171213,316,366.030087
178.129691,1600,373.109944
212.225317,1600,375.26908
242.322238,1600,382.14254
-20.434215,709,387.976964
-2.457861,698,388.932031
245.520203,1553,395.965237
231.647209,1600,398.09977
246.252817,1540,405.033919
241.755371,1600,411.827622
244.31942,1572,418.542863
229.190701,1600,425.377325
-57.916062,392,425.906808
242.787772,1594,432.712136
210.986406,1600,434.845167
218.274091,1600,441.867789
253.374715,1431,448.489613
249.850599,1512,455.152663
-113.850269,52,455.2249
86.273691,1084,456.703295
248.272985,1510,463.459883
249.396808,1492,470.246898
244.039259,1548,472.34405
77.388799,1164,478.891616
251.517057,1447,485.555613
250.971746,1431,487.484157
249.64926,1485,494.212794
-31.312104,564,494.987509
246.883273,1524,501.708803
253.788351,1420,508.488786
245.67294,1529,510.534058
-46.354815,473,515.84486
249.770193,1450,517.788245
241.240921,1573,524.492773
246.438446,1490,531.0933
247.520669,1473,537.692359
252.236284,1453,539.612401
258.752872,1356,546.055717
249.699727,1443,552.529508
260.042391,1311,554.274029
240.649109,1577,561.135962
257.185227,1376,567.967841
-33.92804,443,568.557401
254.920937,1403,575.412281
251.551964,1423,577.343157
60.233923,965,583.607275
254.846041,1382,590.263678
256.861432,1381,592.135828
265.060916,1266,598.82373
263.879604,1270,600.498401
256.218256,1353,607.265898
39.315963,640,608.138842
250.95252,1450,614.708655
-112.929366,49,614.775256
-43.286278,454,615.391567
259.597513,1336,622.114322
264.767371,1273,628.767309
268.231022,1206,630.419151
127.925053,1230,636.696302
260.153249,1319,638.4679
256.500932,1325,644.89203
263.802444,1266,651.310791
-0.274277,543,652.034841
-40.984953,425,652.622824
-9.624469,614,658.053749
254.657407,1396,659.972275
261.369984,1300,666.517694
260.753545,1295,668.246511
257.233283,1353,674.946069
256.491886,1375,681.66677
12.813102,750,682.677896
267.352459,1243,688.925198
264.047023,1271,690.64467
